Variables,Importance
results_ktlint_None_chain-wrapping,-0.0105
results_ktlint_None_,-0.0100
results_ktlint_None_no-multi-spaces,-0.0076
results_ktlint_None_no-semi,-0.0066
results_ktlint_None_import-ordering,-0.0061
results_ktlint_None_curly-spacing,-0.0059
results_ktlint_None_no-empty-class-body,-0.0056
results_ktlint_None_comma-spacing,-0.0054
results_ktlint_None_no-line-break-before-assignment,-0.0050
results_ktlint_None_paren-spacing,-0.0036
results_ktlint_None_no-consecutive-blank-lines,-0.0030
results_ktlint_None_no-trailing-spaces,-0.0030
results_ktlint_None_no-blank-line-before-rbrace,-0.0027
results_ktlint_None_keyword-spacing,-0.0023
results_ktlint_None_indent,-0.0022
results_ktlint_None_no-unused-imports,-0.0011
results_ktlint_None_string-template,-0.0007
results_ktlint_None_colon-spacing,-0.0005
results_ktlint_None_modifier-order,-0.0000
results_ktlint_None_comment-spacing,0.0001
results_ktlint_None_no-line-break-after-else,0.0002
results_ktlint_None_dot-spacing,0.0017
results_ktlint_None_range-spacing,0.0018
results_ktlint_None_no-unit-return,0.0032
results_ktlint_None_op-spacing,0.0035
results_ktlint_None_final-newline,0.0050
results_ktlint_None_parameter-list-wrapping,0.0052
results_ktlint_None_no-wildcard-imports,0.0082
