Variables,Importance
results_ktlint_None_no-line-break-before-assignment,-0.0136
results_ktlint_None_op-spacing,-0.0047
results_ktlint_None_no-unit-return,-0.0028
results_ktlint_None_parameter-list-wrapping,-0.0025
results_ktlint_None_dot-spacing,-0.0016
results_ktlint_None_no-trailing-spaces,-0.0009
results_ktlint_None_range-spacing,-0.0001
results_ktlint_None_string-template,-0.0001
results_ktlint_None_no-line-break-after-else,0.0000
results_ktlint_None_modifier-order,0.0006
results_ktlint_None_no-empty-class-body,0.0008
results_ktlint_None_paren-spacing,0.0022
results_ktlint_None_chain-wrapping,0.0037
results_ktlint_None_colon-spacing,0.0038
results_ktlint_None_curly-spacing,0.0041
results_ktlint_None_comma-spacing,0.0050
results_ktlint_None_no-semi,0.0051
results_ktlint_None_,0.0055
results_ktlint_None_no-blank-line-before-rbrace,0.0058
results_ktlint_None_no-multi-spaces,0.0070
results_ktlint_None_comment-spacing,0.0077
results_ktlint_None_no-unused-imports,0.0077
results_ktlint_None_no-wildcard-imports,0.0079
results_ktlint_None_no-consecutive-blank-lines,0.0104
results_ktlint_None_import-ordering,0.0104
results_ktlint_None_final-newline,0.0115
results_ktlint_None_keyword-spacing,0.0169
results_ktlint_None_indent,0.0400
